title,description,video_url
Dumas beach,zoom in to see mahi’s “I’m busy” attitude 😂📱,https://drive.google.com/file/d/1keGD96W6dlyaB12aVCp-1VdByzzCL0GA/view?usp=drive_link
Dumas beach,mahi giving serious model vibes on the beach 💃🌊,https://drive.google.com/file/d/1kd21VnkkMaLdwpPUSrY3D5hoQVFlU3Lm/view?usp=drive_link
Dumas beach,when mahi pretends to ignore everyone like a celebrity 😎,https://drive.google.com/file/d/1kHn0oYxFY9Cz9kOJkyTBQvz94q5Gl9je/view?usp=drive_link
Dumas beach,mahi casually walking like it’s a fashion ramp 🤭✨,https://drive.google.com/file/d/1kDEZz_zDv6-XszQBaBdl8Q7xjly-otSn/view?usp=drive_link
Dumas beach,randomly mahi posing and behaving like BUSY😭😭,https://drive.google.com/file/d/1kC6H5GQOdrPQxiXeTbeusaaRs_fag3-W/view?usp=drive_link
Dumas beach,Mahi caught smiling at her own cuteness while selfieing 📸😊,https://drive.google.com/file/d/1jrt9MRyZEEWQy_M1iQsfnA2AOmG2ZVKB/view?usp=drive_link
Dumas beach,Blushing Mahi taking the most dramatic selfie ever 😳📱,https://drive.google.com/file/d/1jlW4pHseB3Kcx2mpgmaNmak2p8gW6zQ2/view?usp=drive_link
Dumas beach,Selfie mode: ON Mahi mode: SHY & GLOWING 💗🤳,https://drive.google.com/file/d/1jjwPRGlxTrYiRpskgRgM1mzuO4ZHBvFG/view?usp=drive_link
Dumas beach,Mahi acting like a whole movie scene with that blush 😍🎥,https://drive.google.com/file/d/1jjZVykI9vEKXO1Cxlw6Z6oINUf1OMJrS/view?usp=drive_link
Dumas beach,Caught in 4K: Mahi taking selfies and turning red 🫣📷,https://drive.google.com/file/d/1jh1t68CwXLWyH_L2oozTvcPYUwxArvgV/view?usp=drive_link
Dumas beach,Monil lost in the golden hour—sunset meets soul 🌅✨,https://drive.google.com/file/d/1iLXjzEt0G2hIBxHat7Lcb5HcX6KtPhq7/view?usp=drive_link
Dumas beach,Alone with the waves Monil stares into the horizon 🌊🧘,https://drive.google.com/file/d/1iKAwCmg3JgMOKzQVuWq3ufTZ-mOdcH5H/view?usp=drive_link
Dumas beach,Monil’s silhouette and the setting sun—aesthetic overload 🖤🌇,https://drive.google.com/file/d/1iEypQNfipE4C8unjp2fHkVF80fuAs7P8/view?usp=drive_link
Dumas beach,When the sunset hits just right and Monil goes full poetry mode 📸🌤️,https://drive.google.com/file/d/1iDvTRKncMWY74JutpG_UzI_23sw_vTx-/view?usp=drive_link
Dumas beach,Chill breeze calm pose—Monil vibing solo at the beach 🧍‍♂️🍃,https://drive.google.com/file/d/1iCpOzrwO250cJc1GyfRA-HUKguClsHFo/view?usp=drive_link
Dumas beach,Captured stillness: Monil facing the sunset like a painting 🖼️🌞,https://drive.google.com/file/d/1iCm0ekr5PV5mp1lj7-7TL2Ua2Bzhfcnd/view?usp=drive_link
Dumas beach,Just vibes—Monil staring deep into the sunset thoughts ☁️🌅,https://drive.google.com/file/d/1iBKN0_Pe-pFhKis3A8fyDNrMvP69IyJV/view?usp=drive_link
Dumas beach,Sunset glow on Monil’s face—pure cinema 🎬✨,https://drive.google.com/file/d/1i3GP-V1401Pi07RL3sZvasjWuSR5k9-d/view?usp=drive_link
Dumas beach,Aesthetic pose + golden light = Monil’s sunset magic 🔥🌇,https://drive.google.com/file/d/1i2I4NrYRRiPhV_XKQhH7dj8k7rvRr6DV/view?usp=drive_link
Dumas beach,Mahi dragging me into selfies while I forgot how to be human in front of a camera 🤦📸,https://drive.google.com/file/d/1jHp7GF8MmQZePCH5wHAVgX2NecZX9evq/view?usp=drive_link
Dumas beach,Captured: Mahi smiling me glitching mid-pose 🤖❤️,https://drive.google.com/file/d/1jHmywzItJRK2mY70Pr5wzc6XCHI32crE/view?usp=drive_link
Dumas beach,Mahi: “Smile!” Me: *panic posing in progress* 😅📷,https://drive.google.com/file/d/1j8iDc4OOGJYb6HQ-3UZ1kyZX9oM3Z3yl/view?usp=drive_link
Dumas beach,Forced friendship moment caught in 4K—Mahi’s mission to make me photogenic 😂👯,https://drive.google.com/file/d/1j8SAzZqkiTqZsdL7mfmirV7crDd3HUIt/view?usp=drive_link
Dumas beach,POV: Mahi wants a cute pic and I’m just there… existing 😶📸,https://drive.google.com/file/d/1imbHaXk5SQpt4DSQyFlzYA19e57xMIbh/view?usp=drive_link
Dumas beach,That one friend (Mahi) who *always* forces group photos 😭🫣,https://drive.google.com/file/d/1ibSCbr-PlFuMyDABD7847Dq0gvFiBkUH/view?usp=drive_link
Dumas beach,My camera fear vs Mahi’s selfie confidence—guess who wins 😩✨,https://drive.google.com/file/d/1iatr8h2pIvLl2WHgXkzytpcGiqPCEyN6/view?usp=drive_link
Dumas beach,Mahi’s idea of bonding = me awkwardly smiling into the void 😂📷,https://drive.google.com/file/d/1iWmfH-DVKn-gyJU675F_oUVayqnKmWvN/view?usp=drive_link
Dumas beach,Friendship test: Let Mahi take 99 photos and act natural in none 🫠🤝,https://drive.google.com/file/d/1iVHu9gzyVib7oZe8LlW3whuciutBicRu/view?usp=drive_link
